SetName,Cycle,Time_S,Temperature,XSize_um,YSize_um,XDisplacement_um,YDisplacement_um,XForce_mN,YForce_mN
FirstImage,1-Preload,0,36.5,7000,7000,0,0,0.1,1.1
FirstImage,1-Stretch,0.42,36.5,7000,7000,0,0,0.1,-1.1
FirstImage,1-Stretch,1.42,36.5,7000,7000,0,0,0.1,-1.1
FirstImage,1-Recover,1.44,36.5,7000,7000,0,0,0.1,-1.1
PreconditioningA,1-Preload,2.43,36.5,7000,7000,0,0,0.1,-0.4
PreconditioningA,1-Preload,2.5,36.5,7000,7000,0,0,0.1,1.9
PreconditioningA,1-Preload,2.56,36.5,7000,7000,0,0,0.1,1.1
PreconditioningA,1-Preload,2.63,36.5,7000,7000,0,0,0.1,-0.4
PreconditioningA,1-Preload,2.7,36.5,7003,7003,3,3,-2.1,5.6
PreconditioningA,1-Preload,2.76,36.5,7008,7003,8,3,-4.4,2.6
PreconditioningA,1-Preload,2.83,36.5,7014,7006,14,6,0.1,-4.1
PreconditioningA,1-Preload,2.9,36.5,7018,7011,18,11,6.9,-13.8
PreconditioningA,1-Preload,2.96,36.5,7018,7013,18,13,-0.6,-1.9
PreconditioningA,1-Stretch,3.03,36.5,7018,7013,0,0,0.1,0.4
PreconditioningA,1-Stretch,3.1,36.5,7027,7020,9,7,2.4,-1.9
PreconditioningA,1-Stretch,3.16,36.5,7034,7027,16,14,0.1,1.9
PreconditioningA,1-Stretch,3.23,36.5,7043,7036,25,23,0.9,0.4
PreconditioningA,1-Stretch,3.3,36.5,7051,7045,33,32,0.1,1.1
PreconditioningA,1-Stretch,3.36,36.5,7059,7052,41,39,0.1,1.1
PreconditioningA,1-Stretch,3.43,36.5,7067,7061,49,48,0.1,1.9
PreconditioningA,1-Stretch,3.5,36.5,7076,7069,58,56,1.6,1.1
PreconditioningA,1-Stretch,3.56,36.5,7084,7077,66,64,2.4,1.1
PreconditioningA,1-Stretch,3.63,36.5,7092,7086,74,73,0.9,1.9
PreconditioningA,1-Stretch,3.7,36.5,7099,7093,81,80,-1.4,7.8
PreconditioningA,1-Stretch,3.76,36.5,7107,7100,89,87,-4.4,9.3
PreconditioningA,1-Stretch,3.83,36.5,7115,7109,97,96,0.1,1.9
PreconditioningA,1-Stretch,3.9,36.5,7124,7117,106,104,0.1,1.9
PreconditioningA,1-Stretch,3.96,36.5,7131,7125,113,112,0.9,0.4
PreconditioningA,1-Stretch,4.03,36.5,7140,7133,122,120,1.6,2.6
PreconditioningA,1-Stretch,4.1,36.5,7149,7142,131,129,1.6,3.3
PreconditioningA,1-Stretch,4.16,36.5,7156,7149,138,136,1.6,2.6
PreconditioningA,1-Stretch,4.23,36.5,7165,7158,147,145,0.1,1.1
PreconditioningA,1-Stretch,4.3,36.5,7172,7167,154,154,2.4,1.9
PreconditioningA,1-Stretch,4.36,36.5,7179,7173,161,160,-3.6,6.3
PreconditioningA,1-Stretch,4.43,36.5,7188,7181,170,168,0.1,1.9
PreconditioningA,1-Stretch,4.5,36.5,7197,7190,179,177,0.9,2.6
PreconditioningA,1-Stretch,4.56,36.5,7204,7197,186,184,0.9,2.6
PreconditioningA,1-Stretch,4.63,36.5,7213,7206,195,193,0.1,1.1
PreconditioningA,1-Stretch,4.7,36.5,7222,7215,204,202,1.6,0.4
PreconditioningA,1-Stretch,4.76,36.5,7229,7222,211,209,2.4,1.9
PreconditioningA,1-Stretch,4.83,36.5,7238,7231,220,218,-0.6,3.3
PreconditioningA,1-Stretch,4.9,36.5,7246,7240,228,227,2.4,2.6
PreconditioningA,1-Stretch,4.96,36.5,7252,7246,234,233,1.6,0.4
