SetName,Cycle,Time_S,Temperature,XSize_um,YSize_um,XDisplacement_um,YDisplacement_um,XForce_mN,YForce_mN
Hold,1-Stretch,0.000,37,7001,7000,0,0,0.1,-0.4
Hold,1-Stretch,0.200,37,7015,7028,14,28,0.1,1.9
Hold,1-Stretch,0.400,37,7030,7067,29,67,0.9,4.1
Hold,1-Stretch,0.600,37,7046,7106,45,106,1.6,-0.4
Hold,1-Stretch,0.800,37,7061,7145,60,145,0.9,2.6
Hold,1-Stretch,1.000,37,7077,7185,76,185,-0.6,1.1
Hold,1-Stretch,1.200,37,7092,7224,91,224,1.6,1.9
Hold,1-Stretch,1.400,37,7108,7263,107,263,0.9,1.1
Hold,1-Stretch,1.600,37,7123,7302,122,302,0.9,2.6
Hold,1-Stretch,1.800,37,7139,7341,138,341,0.9,4.1
Hold,1-Stretch,2.000,37,7154,7380,153,380,-0.6,1.9
Hold,1-Stretch,2.200,37,7170,7419,169,419,0.9,2.6
Hold,1-Stretch,2.400,37,7185,7458,184,458,1.6,4.1
Hold,1-Stretch,2.600,37,7201,7497,200,497,1.6,2.6
Hold,1-Stretch,2.800,37,7216,7536,215,536,1.6,3.3
Hold,1-Stretch,3.000,37,7232,7575,231,575,0.9,2.6
Hold,1-Stretch,3.200,37,7247,7614,246,614,2.4,4.1
Hold,1-Stretch,3.400,37,7263,7654,262,654,0.9,5.6
Hold,1-Stretch,3.600,37,7278,7692,277,692,2.4,5.6
Hold,1-Stretch,3.800,37,7294,7731,293,731,0.9,4.1
Hold,1-Stretch,4.000,37,7310,7771,309,771,1.6,4.8
Hold,1-Stretch,4.200,37,7325,7810,324,810,1.6,8.6
Hold,1-Stretch,4.400,37,7341,7849,340,849,1.6,7.8
Hold,1-Stretch,4.600,37,7356,7888,355,888,1.6,6.3
Hold,1-Stretch,4.800,37,7372,7927,371,927,3.9,6.3
Hold,1-Stretch,5.000,37,7387,7966,386,966,3.1,7.1
Hold,1-Stretch,5.200,37,7403,8005,402,1005,1.6,7.1
Hold,1-Stretch,5.400,37,7418,8044,417,1044,3.9,7.1
Hold,1-Stretch,5.600,37,7433,8083,432,1083,3.9,8.6
Hold,1-Stretch,5.800,37,7449,8122,448,1122,3.1,8.6
Hold,1-Stretch,6.000,37,7464,8161,463,1161,3.1,8.6
Hold,1-Stretch,6.200,37,7480,8200,479,1200,3.1,7.8
Hold,1-Stretch,6.400,37,7495,8239,494,1239,3.1,10.1
Hold,1-Stretch,6.600,37,7511,8279,510,1279,4.6,7.8
Hold,1-Stretch,6.800,37,7526,8317,525,1317,2.4,10.1
Hold,1-Stretch,7.000,37,7542,8357,541,1357,3.9,10.8
Hold,1-Stretch,7.200,37,7557,8396,556,1396,4.6,9.3
Hold,1-Stretch,7.400,37,7573,8435,572,1435,3.9,9.3
Hold,1-Stretch,7.600,37,7589,8474,588,1474,3.9,10.8
Hold,1-Stretch,7.800,37,7604,8513,603,1513,5.4,10.1
Hold,1-Stretch,8.000,37,7620,8552,619,1552,4.6,11.5
Hold,1-Stretch,8.200,37,7635,8591,634,1591,3.9,12.3
Hold,1-Stretch,8.400,37,7650,8630,649,1630,6.1,11.5
Hold,1-Stretch,8.600,37,7666,8669,665,1669,4.6,12.3
Hold,1-Stretch,8.800,37,7681,8708,680,1708,3.9,11.5
Hold,1-Stretch,9.000,37,7697,8747,696,1747,6.1,12.3
Hold,1-Stretch,9.200,37,7712,8786,711,1786,6.1,15.3
Hold,1-Stretch,9.400,37,7728,8825,727,1825,5.4,14.5
Hold,1-Stretch,9.600,37,7743,8865,742,1865,4.6,16.8
Hold,1-Stretch,9.800,37,7759,8904,758,1904,5.4,14.5
Hold,1-Stretch,10.000,37,7774,8943,773,1943,5.4,13.8
Hold,1-Stretch,10.200,37,7790,8982,789,1982,5.4,16.0
Hold,1-Stretch,10.400,37,7805,9021,804,2021,6.1,16.8
Hold,1-Stretch,10.600,37,7821,9060,820,2060,6.1,18.3
Hold,1-Stretch,10.800,37,7837,9099,836,2099,6.1,18.3
Hold,1-Stretch,11.000,37,7852,9138,851,2138,8.4,19.0
Hold,1-Stretch,11.200,37,7868,9177,867,2177,6.9,20.5
Hold,1-Stretch,11.400,37,7883,9216,882,2216,6.9,20.5
Hold,1-Stretch,11.600,37,7899,9255,898,2255,7.6,19.8
Hold,1-Stretch,11.800,37,7914,9294,913,2294,7.6,22.0
Hold,1-Stretch,12.000,37,7930,9333,929,2333,9.1,22.0
Hold,1-Stretch,12.200,37,7945,9372,944,2372,8.4,24.2
Hold,1-Stretch,12.400,37,7961,9411,960,2411,8.4,24.2
Hold,1-Stretch,12.600,37,7976,9451,975,2451,9.1,24.2
Hold,1-Stretch,12.800,37,7992,9490,991,2490,9.9,25.7
Hold,1-Stretch,13.000,37,8007,9529,1006,2529,9.9,29.5
Hold,1-Stretch,13.200,37,8023,9568,1022,2568,12.1,28.0
Hold,1-Stretch,13.400,37,8038,9607,1037,2607,10.6,28.7
Hold,1-Stretch,13.600,37,8053,9646,1052,2646,11.4,29.5
Hold,1-Stretch,13.800,37,8069,9685,1068,2685,10.6,32.4
Hold,1-Stretch,14.000,37,8085,9724,1084,2724,12.1,30.9
Hold,1-Stretch,14.200,37,8100,9763,1099,2763,11.4,32.4
Hold,1-Stretch,14.400,37,8116,9802,1115,2802,14.4,32.4
Hold,1-Stretch,14.600,37,8131,9841,1130,2841,14.4,35.4
Hold,1-Stretch,14.800,37,8147,9880,1146,2880,14.4,36.9
Hold,1-Stretch,15.000,37,8162,9919,1161,2919,15.2,38.4
Hold,1-Stretch,15.200,37,8178,9959,1177,2959,17.4,38.4
Hold,1-Stretch,15.400,37,8193,9998,1192,2998,17.4,37.7
Hold,1-Stretch,15.600,37,8209,10036,1208,3036,17.4,41.4
Hold,1-Stretch,15.800,37,8224,10076,1223,3076,18.2,42.1
Hold,1-Stretch,16.000,37,8240,10115,1239,3115,18.9,45.1
Hold,1-Stretch,16.200,36.9,8255,10154,1254,3154,21.2,47.4
Hold,1-Stretch,16.400,36.9,8270,10193,1269,3193,21.9,47.4
Hold,1-Stretch,16.600,36.9,8286,10232,1285,3232,21.2,48.9
Hold,1-Stretch,16.800,36.9,8301,10271,1300,3271,22.7,50.3
Hold,1-Stretch,17.000,36.9,8317,10310,1316,3310,24.2,52.6
Hold,1-Stretch,17.200,36.9,8333,10349,1332,3349,25.7,54.1
Hold,1-Stretch,17.400,36.9,8348,10388,1347,3388,24.9,57.8
Hold,1-Stretch,17.600,36.9,8364,10427,1363,3427,27.9,59.3
Hold,1-Stretch,17.800,36.9,8379,10466,1378,3466,27.2,59.3
Hold,1-Stretch,18.000,36.9,8395,10505,1394,3505,28.7,60.8
Hold,1-Stretch,18.200,36.9,8410,10545,1409,3545,30.2,63.8
Hold,1-Stretch,18.400,36.9,8426,10584,1425,3584,33.2,66.8
Hold,1-Stretch,18.600,36.9,8441,10623,1440,3623,33.9,70.5
Hold,1-Stretch,18.800,36.9,8457,10662,1456,3662,36.2,72.7
Hold,1-Stretch,19.000,36.9,8472,10701,1471,3701,37.7,76.5
Hold,1-Stretch,19.200,36.9,8488,10740,1487,3740,41.5,78.0
Hold,1-Stretch,19.400,36.9,8503,10779,1502,3779,43.7,81.7
Hold,1-Stretch,19.600,36.9,8519,10818,1518,3818,46.0,84.7
Hold,1-Stretch,19.800,36.9,8534,10857,1533,3857,49.7,87.7
Hold,1-Stretch,20.000,36.9,8550,10896,1549,3896,53.5,92.1
Hold,1-Stretch,20.200,36.9,8565,10935,1564,3935,56.5,96.6
Hold,1-Stretch,20.400,36.9,8581,10974,1580,3974,61.0,101.8
Hold,1-Stretch,20.600,36.9,8596,11013,1595,4013,66.3,106.3
Hold,1-Stretch,20.800,36.9,8612,11053,1611,4053,73.0,112.3
Hold,1-Stretch,21.000,36.9,8627,11091,1626,4091,79.8,118.2
Hold,1-Stretch,21.200,36.9,8643,11130,1642,4130,89.6,125.7
Hold,1-Stretch,21.400,36.9,8658,11170,1657,4170,98.6,133.9
Hold,1-Stretch,21.600,36.9,8674,11209,1673,4209,109.1,144.4
Hold,1-Stretch,21.800,36.9,8689,11248,1688,4248,121.9,153.3
Hold,1-Stretch,22.000,36.9,8705,11287,1704,4287,138.4,163.8
Hold,1-Stretch,22.200,36.9,8720,11326,1719,4326,155.7,175.7
Hold,1-Stretch,22.400,36.9,8736,11365,1735,4365,176.0,188.4
Hold,1-Stretch,22.600,36.9,8751,11404,1750,4404,197.8,207.0
Hold,1-Stretch,22.800,36.9,8767,11443,1766,4443,224.1,226.4
Hold,1-Stretch,23.000,36.9,8782,11482,1781,4482,251.9,246.6
Hold,1-Stretch,23.200,36.9,8798,11521,1797,4521,285.0,270.4
Hold,1-Stretch,23.400,36.9,8813,11560,1812,4560,322.6,298.0
Hold,1-Stretch,23.600,36.9,8829,11599,1828,4599,363.2,327.9
Hold,1-Stretch,23.800,36.9,8844,11638,1843,4638,410.5,360.7
Hold,1-Stretch,24.000,36.9,8860,11678,1859,4678,462.4,399.5
Hold,1-Stretch,24.200,36.9,8875,11716,1874,4716,519.5,439.8
Hold,1-Stretch,24.400,36.9,8891,11756,1890,4756,581.9,486.8
Hold,1-Stretch,24.600,36.9,8906,11795,1905,4795,649.6,533.8
Hold,1-Stretch,24.800,36.9,8922,11834,1921,4834,722.5,590.5
Hold,1-Stretch,25.000,36.9,8935,11873,1934,4873,802.9,649.5
Hold,1-Hold,25.020,36.9,8935,11874,1934,4874,808.2,653.2
Hold,1-Hold,25.220,36.9,8935,11874,1934,4874,798.4,648.0
Hold,1-Hold,25.420,36.9,8935,11874,1934,4874,790.9,642.0
Hold,1-Hold,25.620,36.9,8935,11874,1934,4874,787.1,636.8
Hold,1-Hold,25.820,36.9,8935,11874,1934,4874,781.9,633.8
Hold,1-Hold,26.020,36.9,8935,11874,1934,4874,775.1,630.1
Hold,1-Hold,26.220,36.9,8935,11874,1934,4874,771.3,625.6
Hold,1-Hold,26.420,36.9,8935,11874,1934,4874,769.8,625.6
Hold,1-Hold,26.620,36.9,8935,11874,1934,4874,764.6,621.1
Hold,1-Hold,26.820,36.9,8935,11874,1934,4874,765.3,620.4
Hold,1-Hold,27.020,36.9,8935,11874,1934,4874,763.8,619.6
Hold,1-Hold,27.220,36.9,8935,11874,1934,4874,763.1,619.6
Hold,1-Hold,27.420,36.9,8935,11874,1934,4874,760.8,616.6
Hold,1-Hold,27.620,36.9,8935,11874,1934,4874,757.8,617.4
Hold,1-Hold,27.820,36.9,8935,11874,1934,4874,756.3,616.6
Hold,1-Hold,28.020,36.9,8935,11874,1934,4874,754.8,612.9
Hold,1-Hold,28.220,36.9,8935,11874,1934,4874,754.8,612.9
Hold,1-Hold,28.420,36.9,8935,11874,1934,4874,753.3,612.1
Hold,1-Hold,28.620,36.9,8935,11874,1934,4874,751.0,612.1
Hold,1-Hold,28.820,36.9,8935,11874,1934,4874,751.8,610.7
Hold,1-Hold,29.020,36.9,8935,11874,1934,4874,750.3,610.7
Hold,1-Hold,29.220,36.9,8935,11874,1934,4874,747.3,608.4
Hold,1-Hold,29.420,36.9,8935,11874,1934,4874,746.5,607.7
Hold,1-Hold,29.620,36.9,8935,11874,1934,4874,745.8,607.7
Hold,1-Hold,29.820,36.9,8935,11874,1934,4874,745.8,606.2
Hold,1-Hold,30.020,36.9,8935,11874,1934,4874,745.8,607.7
Hold,1-Hold,30.220,36.9,8935,11874,1934,4874,742.8,606.2
Hold,1-Hold,30.420,36.9,8935,11874,1934,4874,739.8,603.9
Hold,1-Hold,30.620,36.9,8935,11874,1934,4874,741.3,604.7
Hold,1-Hold,30.820,36.9,8935,11874,1934,4874,739.8,601.7
Hold,1-Hold,31.020,36.9,8935,11874,1934,4874,739.8,602.4
Hold,1-Hold,31.220,36.9,8935,11874,1934,4874,739.8,602.4
Hold,1-Hold,31.420,36.9,8935,11874,1934,4874,738.3,601.7
Hold,1-Hold,31.620,36.9,8935,11874,1934,4874,738.3,601.7
Hold,1-Hold,31.820,36.9,8935,11874,1934,4874,737.5,600.2
Hold,1-Hold,32.020,36.9,8935,11874,1934,4874,737.5,601.0
Hold,1-Hold,32.220,36.9,8935,11874,1934,4874,736.8,601.0
Hold,1-Hold,32.420,36.9,8935,11874,1934,4874,736.8,598.0
Hold,1-Hold,32.620,36.9,8935,11874,1934,4874,736.8,598.7
Hold,1-Hold,32.820,36.9,8935,11874,1934,4874,736.8,598.0
Hold,1-Hold,33.020,36.9,8935,11874,1934,4874,738.3,595.7
Hold,1-Hold,33.220,36.9,8935,11874,1934,4874,736.0,596.5
Hold,1-Hold,33.420,36.9,8935,11874,1934,4874,735.3,597.2
Hold,1-Hold,33.620,36.9,8935,11874,1934,4874,734.5,595.7
Hold,1-Hold,33.820,36.9,8935,11874,1934,4874,733.0,595.7
Hold,1-Hold,34.020,36.9,8935,11874,1934,4874,733.7,595.7
Hold,1-Hold,34.220,36.9,8935,11874,1934,4874,733.7,595.7
Hold,1-Hold,34.420,36.9,8935,11874,1934,4874,731.5,596.5
Hold,1-Hold,34.620,36.9,8935,11874,1934,4874,733.0,595.0
Hold,1-Hold,34.820,36.9,8935,11874,1934,4874,731.5,595.7
Hold,1-Hold,35.020,36.9,8935,11874,1934,4874,730.7,595.7
Hold,1-Hold,35.220,36.9,8935,11874,1934,4874,732.2,594.2
Hold,1-Hold,35.420,36.9,8935,11874,1934,4874,729.2,595.0
Hold,1-Hold,35.620,36.9,8935,11874,1934,4874,730.0,594.2
Hold,1-Hold,35.820,36.9,8935,11874,1934,4874,730.0,593.5
Hold,1-Hold,36.020,36.9,8935,11874,1934,4874,729.2,594.2
Hold,1-Hold,36.220,36.9,8935,11874,1934,4874,727.7,594.2
Hold,1-Hold,36.420,36.9,8935,11874,1934,4874,727.7,593.5
Hold,1-Hold,36.620,36.9,8935,11874,1934,4874,728.5,594.2
Hold,1-Hold,36.820,36.9,8935,11874,1934,4874,727.0,593.5
Hold,1-Hold,37.020,36.9,8935,11874,1934,4874,727.0,592.7
Hold,1-Hold,37.220,36.9,8935,11874,1934,4874,727.0,595.0
Hold,1-Hold,37.420,36.9,8935,11874,1934,4874,727.0,593.5
Hold,1-Hold,37.620,36.9,8935,11874,1934,4874,726.2,592.7
Hold,1-Hold,37.820,36.9,8935,11874,1934,4874,727.0,595.0
Hold,1-Hold,38.020,36.9,8935,11874,1934,4874,727.0,592.7
Hold,1-Hold,38.220,36.9,8935,11874,1934,4874,726.2,594.2
Hold,1-Hold,38.420,36.9,8935,11874,1934,4874,726.2,595.0
Hold,1-Hold,38.620,36.9,8935,11874,1934,4874,725.5,592.7
Hold,1-Hold,38.820,36.9,8935,11874,1934,4874,723.2,593.5
Hold,1-Hold,39.020,36.9,8935,11874,1934,4874,724.0,593.5
Hold,1-Hold,39.220,36.9,8935,11874,1934,4874,724.0,590.5
Hold,1-Hold,39.420,36.9,8935,11874,1934,4874,721.7,591.3
Hold,1-Hold,39.620,36.9,8935,11874,1934,4874,723.2,590.5
Hold,1-Hold,39.820,36.9,8935,11874,1934,4874,721.7,589.8
Hold,1-Hold,40.020,36.9,8935,11874,1934,4874,721.7,589.8
Hold,1-Hold,40.220,36.9,8935,11874,1934,4874,721.7,589.0
Hold,1-Hold,40.420,36.9,8935,11874,1934,4874,721.7,589.8
Hold,1-Hold,40.620,36.9,8935,11874,1934,4874,722.5,589.0
Hold,1-Hold,40.820,36.9,8935,11874,1934,4874,721.7,588.3
Hold,1-Hold,41.020,36.9,8935,11874,1934,4874,721.0,589.0
Hold,1-Hold,41.220,36.9,8935,11874,1934,4874,721.7,588.3
Hold,1-Hold,41.420,36.9,8935,11874,1934,4874,721.0,589.0
Hold,1-Hold,41.620,36.9,8935,11874,1934,4874,719.5,589.0
Hold,1-Hold,41.820,36.9,8935,11874,1934,4874,720.2,586.8
Hold,1-Hold,42.020,36.9,8935,11874,1934,4874,718.0,589.0
Hold,1-Hold,42.220,36.9,8935,11874,1934,4874,718.7,588.3
Hold,1-Hold,42.420,36.9,8935,11874,1934,4874,718.7,587.5
Hold,1-Hold,42.620,36.9,8935,11874,1934,4874,718.0,589.0
Hold,1-Hold,42.820,36.9,8935,11874,1934,4874,718.0,587.5
Hold,1-Hold,43.020,36.9,8935,11874,1934,4874,717.2,587.5
Hold,1-Hold,43.220,36.9,8935,11874,1934,4874,717.2,588.3
Hold,1-Hold,43.420,36.9,8935,11874,1934,4874,718.0,586.8
Hold,1-Hold,43.620,36.9,8935,11874,1934,4874,716.5,588.3
Hold,1-Hold,43.820,36.9,8935,11874,1934,4874,715.7,587.5
Hold,1-Hold,44.020,36.9,8935,11874,1934,4874,716.5,586.0
Hold,1-Hold,44.220,36.9,8935,11874,1934,4874,715.7,586.8
Hold,1-Hold,44.420,36.9,8935,11874,1934,4874,715.7,586.8
Hold,1-Hold,44.620,36.9,8935,11874,1934,4874,716.5,584.5
Hold,1-Hold,44.820,36.9,8935,11874,1934,4874,715.7,585.3
Hold,1-Hold,45.020,36.9,8935,11874,1934,4874,715.7,585.3
Hold,1-Hold,45.220,36.9,8935,11874,1934,4874,715.7,583.8
Hold,1-Hold,45.420,36.9,8935,11874,1934,4874,715.7,585.3
Hold,1-Hold,45.620,36.9,8935,11874,1934,4874,715.7,585.3
Hold,1-Hold,45.820,36.9,8935,11874,1934,4874,715.7,583.8
Hold,1-Hold,46.020,36.9,8935,11874,1934,4874,715.7,584.5
Hold,1-Hold,46.220,36.9,8935,11874,1934,4874,715.7,583.8
Hold,1-Hold,46.420,36.9,8935,11874,1934,4874,715.7,583.8
Hold,1-Hold,46.620,36.9,8935,11874,1934,4874,715.7,584.5
Hold,1-Hold,46.820,36.9,8935,11874,1934,4874,715.0,583.8
Hold,1-Hold,47.020,36.9,8935,11874,1934,4874,715.0,584.5
Hold,1-Hold,47.220,36.9,8935,11874,1934,4874,714.2,583.1
Hold,1-Hold,47.420,36.9,8935,11874,1934,4874,712.0,583.1
Hold,1-Hold,47.620,36.9,8935,11874,1934,4874,712.0,583.1
Hold,1-Hold,47.820,36.9,8935,11874,1934,4874,712.7,583.8
Hold,1-Hold,48.020,36.9,8935,11874,1934,4874,710.4,583.1
Hold,1-Hold,48.220,36.9,8935,11874,1934,4874,712.7,583.1
Hold,1-Hold,48.420,36.9,8935,11874,1934,4874,710.4,583.8
Hold,1-Hold,48.620,36.9,8935,11874,1934,4874,710.4,583.1
Hold,1-Hold,48.820,36.9,8935,11874,1934,4874,712.7,582.3
Hold,1-Hold,49.020,36.9,8935,11874,1934,4874,709.7,583.1
Hold,1-Hold,49.220,36.9,8935,11874,1934,4874,710.4,583.1
Hold,1-Hold,49.420,36.9,8935,11874,1934,4874,710.4,582.3
Hold,1-Hold,49.620,36.9,8935,11874,1934,4874,709.7,583.1
Hold,1-Hold,49.820,36.9,8935,11874,1934,4874,709.7,583.1
Hold,1-Hold,50.020,36.9,8935,11874,1934,4874,710.4,583.1
Hold,1-Hold,50.220,36.9,8935,11874,1934,4874,709.7,583.8
Hold,1-Hold,50.420,36.9,8935,11874,1934,4874,709.7,582.3
Hold,1-Hold,50.620,36.9,8935,11874,1934,4874,709.7,583.1
Hold,1-Hold,50.820,36.9,8935,11874,1934,4874,709.7,582.3
Hold,1-Hold,51.020,36.9,8935,11874,1934,4874,709.7,580.8
Hold,1-Hold,51.220,36.9,8935,11874,1934,4874,709.7,583.1
Hold,1-Hold,51.420,36.9,8935,11874,1934,4874,710.4,582.3
Hold,1-Hold,51.620,36.9,8935,11874,1934,4874,709.7,580.1
Hold,1-Hold,51.820,36.9,8935,11874,1934,4874,712.0,580.8
Hold,1-Hold,52.020,36.9,8935,11874,1934,4874,710.4,580.8
Hold,1-Hold,52.220,36.9,8935,11874,1934,4874,709.7,579.3
Hold,1-Hold,52.420,36.9,8935,11874,1934,4874,710.4,580.8
Hold,1-Hold,52.620,36.9,8935,11874,1934,4874,709.7,579.3
Hold,1-Hold,52.820,36.9,8935,11874,1934,4874,708.9,579.3
Hold,1-Hold,53.020,36.9,8935,11874,1934,4874,708.2,580.8
Hold,1-Hold,53.220,36.9,8935,11874,1934,4874,708.2,580.1
Hold,1-Hold,53.420,36.9,8935,11874,1934,4874,708.2,579.3
Hold,1-Hold,53.620,36.9,8935,11874,1934,4874,708.9,580.8
Hold,1-Hold,53.820,36.9,8935,11874,1934,4874,709.7,578.6
Hold,1-Hold,54.020,36.9,8935,11874,1934,4874,708.2,580.1
Hold,1-Hold,54.220,36.9,8935,11874,1934,4874,709.7,579.3
Hold,1-Hold,54.420,36.9,8935,11874,1934,4874,708.9,577.8
Hold,1-Hold,54.620,36.9,8935,11874,1934,4874,708.2,579.3
Hold,1-Hold,54.820,36.9,8935,11874,1934,4874,708.2,577.8
Hold,1-Hold,55.020,36.9,8935,11874,1934,4874,708.9,577.8
Hold,1-Hold,55.220,36.9,8935,11874,1934,4874,708.9,577.8
Hold,1-Hold,55.420,36.9,8935,11874,1934,4874,708.2,577.8
Hold,1-Hold,55.620,36.9,8935,11874,1934,4874,708.2,578.6
Hold,1-Hold,55.820,36.9,8935,11874,1934,4874,707.4,578.6
Hold,1-Hold,56.020,36.9,8935,11874,1934,4874,707.4,577.8
Hold,1-Hold,56.220,36.9,8935,11874,1934,4874,706.7,577.8
Hold,1-Hold,56.420,36.9,8935,11874,1934,4874,708.2,577.8
Hold,1-Hold,56.620,36.9,8935,11874,1934,4874,708.2,577.8
Hold,1-Hold,56.820,36.9,8935,11874,1934,4874,705.9,577.8
Hold,1-Hold,57.020,36.9,8935,11874,1934,4874,707.4,577.8
Hold,1-Hold,57.220,36.9,8935,11874,1934,4874,707.4,577.8
Hold,1-Hold,57.420,36.9,8935,11874,1934,4874,706.7,578.6
Hold,1-Hold,57.620,36.9,8935,11874,1934,4874,708.9,577.8
Hold,1-Hold,57.820,36.9,8935,11874,1934,4874,706.7,577.8
Hold,1-Hold,58.020,36.9,8935,11874,1934,4874,707.4,577.1
Hold,1-Hold,58.220,36.9,8935,11874,1934,4874,708.2,577.8
Hold,1-Hold,58.420,36.9,8935,11874,1934,4874,706.7,577.1
Hold,1-Hold,58.620,36.9,8935,11874,1934,4874,708.2,577.1
Hold,1-Hold,58.820,36.9,8935,11874,1934,4874,707.4,577.8
Hold,1-Hold,59.020,36.9,8935,11874,1934,4874,707.4,577.1
Hold,1-Hold,59.220,36.9,8935,11874,1934,4874,708.2,577.8
Hold,1-Hold,59.420,36.9,8935,11874,1934,4874,705.9,577.8
Hold,1-Hold,59.620,36.9,8935,11874,1934,4874,708.9,577.1
Hold,1-Hold,59.820,36.9,8935,11874,1934,4874,705.9,576.3
Hold,1-Hold,60.020,36.9,8935,11874,1934,4874,703.7,576.3
Hold,1-Hold,60.220,36.9,8935,11874,1934,4874,706.7,575.6
Hold,1-Hold,60.420,36.9,8935,11874,1934,4874,705.9,577.1
Hold,1-Hold,60.620,36.9,8935,11874,1934,4874,704.4,577.1
Hold,1-Hold,60.820,36.9,8935,11874,1934,4874,705.9,577.1
Hold,1-Hold,61.020,36.9,8935,11874,1934,4874,705.9,577.8
Hold,1-Hold,61.220,36.9,8935,11874,1934,4874,704.4,576.3
Hold,1-Hold,61.420,36.9,8935,11874,1934,4874,704.4,575.6
Hold,1-Hold,61.620,36.9,8935,11874,1934,4874,703.7,575.6
Hold,1-Hold,61.820,36.9,8935,11874,1934,4874,703.7,574.8
Hold,1-Hold,62.020,36.9,8935,11874,1934,4874,703.7,575.6
